country,Communication,Education,Economics,Environment,Infrastructure,Health,Energy,Work,Society,Government
China,25.51168658549344,17.099792099792097,41.07270389795303,75.82186563592495,69.64357285242372,52.02822126763007,10.972733974456789,57.64318941530023,66.78589963945173,17.91666603088379
"Congo, Dem. Rep.",1.559008552622699,20.863095432060945,28.603729084134105,88.47721210950021,5.703541359596976,25.220946516267645,28.700175940990448,38.68697198219684,27.72421703785642,26.66666603088379
Colombia,18.104842588749552,68.60165135310397,28.44312357902527,93.59692816932444,72.60494402983537,54.99784074350814,21.671609103679657,47.28037198608476,49.33520068217775,67.50000190734863
Costa Rica,25.496018609480345,74.3686244478571,30.30396920442581,93.72170219596556,78.42325971547542,63.82035322818798,18.892809629440308,42.88542759225207,59.32379349707656,90.625
Cyprus,41.046597857734426,79.46465637821761,35.92234152555466,67.39626516695276,92.58918931736858,57.89065288200979,8.702081441879272,47.8005344129984,73.44553118189435,90.0
Dominican Republic,10.966963384028434,46.695352507460825,31.57789635658264,92.60843013594663,72.3910992338443,43.03833623588758,6.663707494735718,43.915018127451496,55.69509335353405,62.08333587646485
Algeria,11.911969936647322,20.689655172413797,38.48158669471741,90.80904614319746,68.80544101670148,40.89427237635786,7.6214517913758755,20.92554987633747,62.092048284389456,35.0
Ecuador,14.639874369701491,61.768981536023226,30.10784149169922,93.11165234516652,70.8490909634529,54.84927247071084,14.028863430023192,42.384621400024216,47.90936148712736,63.43750190734863
Spain,37.889719700743136,43.89072755998448,35.36334151029587,78.10353809448011,92.16159296936344,69.93883720617688,19.60969567298889,42.026174573145575,83.39317588118513,90.0
Estonia,41.777557097165655,70.56201882270362,40.63265860080719,58.50996890707634,87.4421442457215,57.34693667618452,18.49423024058342,53.8905230938342,76.01530716666832,93.125
Ethiopia,1.5344097975839648,8.315922178841069,32.0030936896801,88.98302837189084,14.991597859939649,20.838187605092475,26.413537859916687,56.086889938137816,35.65202871177169,30.208332061767575
Georgia,22.20673807550895,60.15198501826046,27.50191557407379,93.19776704566289,72.29995037043,63.40472278335464,16.0752375125885,48.08120782374268,62.50445443279076,63.85416793823242
Ghana,7.22994380779278,15.800415800415797,27.964208841323853,91.99636807143229,43.79923105328507,24.363378188385223,16.08795863389969,52.374617724167614,43.05686902903236,73.85416793823242
Greece,35.96922936664857,71.26193135677283,28.990675926208496,73.78225832913222,77.93266206795545,72.36587435587917,11.367369890213013,34.1903743586028,76.04481511619295,78.85416793823242
Guatemala,11.103314467554188,47.05810497166183,23.427335679531097,92.2829939345268,65.9235155021264,33.71326008249908,20.775670051574707,41.73374957696723,45.09323404563341,53.4375
Honduras,6.370886740756897,19.46536144578313,23.69221031665802,92.06041046668672,67.9205945037333,29.214803414235742,16.372228145599365,39.11007213426773,42.03261137643346,52.5
Hungary,30.829369739697384,68.46378575241573,38.533026456832886,85.9023846494183,85.46249290286761,56.45545013049511,17.21216344833374,45.71615086121963,80.98200241182447,69.58333587646484
Indonesia,10.147279998674142,49.33127440474703,35.32072114944458,93.17139956934793,66.10816419290315,26.5706992867261,11.545505702495577,52.690429363908926,54.29818909960949,64.58333396911621
Iran,19.954878241090487,21.392126268583286,42.63821029663086,80.94732749532152,71.18930372373653,45.84930391629792,7.2524882555007935,24.6788932711501,52.8058692097276,14.479166030883787
Israel,28.949618132972358,30.2336747759283,38.6281378865242,68.51215071827839,83.73876483443367,65.20172181031266,8.184638977050781,50.17121174701271,76.87911625137505,79.06250190734863
Italy,37.92798472713634,72.46609112067546,35.37131869792938,79.57108809482996,94.34122942894555,70.05833710868188,11.91545271873474,38.19618879499942,83.12876036465863,87.8125
Jamaica,16.47951690486028,64.49470267482725,3.681119680404663,91.80165872816644,67.55008504655305,40.57212221755144,4.832005202770233,49.26305205225019,52.71825663055596,76.35416793823242
Jordan,7.8774493248118524,23.531626506024097,2.587776660919189,92.11768747590152,77.7843136147028,49.62383241679673,5.007615804672241,21.272030840083453,52.23279302782942,33.4375
Kenya,7.255833052554187,22.68237805209636,25.39350229501724,91.42224041800634,35.0530157383566,25.465321983345337,22.326116502285004,60.013023445072896,38.90949361076984,53.4375
Kuwait,18.47667963260473,0.0,12.732805013656616,9.654662190089567,89.38861197308722,43.93393894960899,21.883945366367698,52.54982729659303,47.20623989367573,29.791667938232425
Sri Lanka,14.623623343902404,20.774371936950857,37.368847131729126,96.35710994099853,69.01712857996534,39.75416493678809,16.168319523334503,37.96488098972439,53.71344067624099,51.5625
Lithuania,26.99373357095261,72.85725267435376,35.66856241226196,63.62638589110603,85.47902949088403,57.22044066733948,13.630521059036257,52.03861372490631,71.59854448870631,86.45833396911621
Latvia,26.35196812568259,75.81729657069627,35.00632047653198,73.85172125874936,85.43902057631485,54.311962869114296,18.679823637008667,50.72322754789439,71.44054817376266,83.64583396911621
Morocco,11.80838605992067,39.851409054514576,30.07476681470871,92.277980166221,65.1115777795668,40.6371239784753,4.469135105609894,31.523708833277816,51.7983146943138,33.85416793823242
Moldova,25.49893490742489,82.7798151576875,26.58823609352112,96.48055074061196,69.10387508343032,60.013418393915885,8.144385486841202,30.92675049416414,67.1854262356195,62.70833587646485
Mexico,20.66837103022543,67.33429556882791,31.12059509754181,91.0086705112753,78.19781668970367,44.54281209842047,9.220717787742617,46.97933777587701,60.43057388671697,57.91666793823242
Mongolia,16.994967607360984,67.41222143631929,31.734994649887085,80.10623249810772,58.928183918107685,33.60305819120826,9.193502470850945,46.18557586358332,60.5685052044958,79.27083396911621
Malaysia,22.603460719579523,44.75557356810392,33.90077316761017,75.01570603607638,72.67135368425201,46.47097887642696,8.000195980072021,56.07280725433836,62.19886659624285,56.875
Namibia,12.181111098863736,19.28274428274428,23.463196992874146,87.08357068664613,41.3890589546107,30.177619970307703,18.593442857265472,31.4530341943026,27.987080754927987,74.79166793823242
Niger,2.558372150342747,11.670020120724343,26.46399095654488,84.90124833505202,7.763637114024647,16.2372054074252,23.679308822844177,57.146291582023295,33.58549198438823,52.5
Nicaragua,8.096661010360005,0.0,26.405770301818848,93.11165113846032,57.88950900476985,38.00831898808085,17.16157430410385,47.11921196173222,44.6161478669985,33.22916603088379
Nepal,9.587493201306682,25.47822219996833,25.55732971429825,91.00458909668764,57.64517463086913,33.88841631338243,24.255317479372025,42.16959372948347,51.21845130744353,56.04166793823242
Oman,16.934128920964753,16.810344827586203,39.678884744644165,75.9603717554973,77.61052870413667,38.33200818344932,14.178797672502697,52.239147828637925,45.777243394253865,25.9375
Pakistan,4.413695300872984,2.6156941649899395,24.01124131679535,89.21653176319484,59.06927044508864,21.190244295264925,16.24299645423889,34.335271368346454,46.18664943063328,43.85416793823242
Panama,19.14747091591295,31.80775422154732,7.759218513965607,91.47772865191322,70.93657041786398,54.817726169356,13.540234327316284,43.88502035417232,55.47263359563745,74.16666793823242
Peru,14.139466731154425,5.445171026156941,28.61457282304764,94.37629889449236,64.99961502806646,41.48127852510208,15.21542739868164,51.6564240454039,56.29557036770777,65.83333587646484
Philippines,12.75675779407183,19.16144200626959,25.15510666370392,93.35889715598684,66.21962565438523,32.40549047410332,10.710877537727356,42.21723130681121,52.40755340747696,59.47916793823242
Poland,23.625592161036053,54.65351614861627,35.56809222698212,73.58242013757871,85.14130667435792,56.35872054069012,9.231495708227158,47.73324790206671,79.52068349055298,82.60416793823242
Portugal,38.9665998658642,73.29864052063681,33.075520157814026,84.86100642864187,74.52393637444132,76.22665132690932,16.590803623199463,46.79488830609283,75.17049577015548,91.875
Paraguay,12.976764822104702,13.24451410658307,30.32469630241394,89.73667817255878,73.1569778748503,40.18575304601382,28.1125385761261,49.9578347879181,52.17646080438214,62.08333587646485
Qatar,20.76682858536796,38.28524690593656,61.90379357337952,43.300555178730846,95.72834745561252,38.05366847826087,35.76990312431008,70.4527836882096,55.58655600503289,29.375
Romania,25.98255198081152,58.95140117566492,35.12510800361633,86.84661952458544,70.66442662042056,50.91509765476522,17.289696097373962,41.70627122343288,72.60231951112544,77.60416793823242
Senegal,7.496102445033911,15.530374715658832,29.975650548934937,88.19915395643153,45.98638794069407,27.501638509517434,11.63604998588562,32.05850289252803,34.57525156659696,65.83333587646484
Singapore,45.18191442699412,37.50154784637543,58.57836878299713,36.55648441398024,79.26477420687044,59.45840243396633,6.759688541293144,60.46326286174273,77.67179778376966,58.4375
El Salvador,17.352359420509988,23.79743638546455,23.097750544548035,92.9101777115386,71.49762284663151,45.06760324085194,11.181131184101105,39.14145111508348,54.339723585567214,59.16666793823242
Serbia,25.45444582117615,68.52291611587415,31.13091731071472,75.62059873895869,78.2801513870542,46.99294337350201,13.404415369033812,41.72146837216988,69.11523138084334,61.66666793823242
Slovenia,38.64464312795492,73.80857187482303,37.69971990585327,71.08849033669058,90.10389875697314,65.682638898219,27.10047435760498,46.42509138833393,82.97433236433756,91.25
Syria,11.249625413220514,37.33234306172611,13.10531371831894,89.15493249291583,68.87955734479452,34.08253221167962,2.685473829507828,19.54765480790557,26.15014833719137,5.3125
Togo,4.896158383926312,32.819374892707074,24.53908622264862,88.46971387290232,26.20552814831056,26.70225046339482,23.33754962682724,43.34257746470162,35.883833172276724,38.02083396911621
Tunisia,15.622829762944464,19.004702194357368,23.48441243171692,92.599421604563,73.99825972247048,44.37730433110524,6.210386633872986,30.85840805807854,56.73264602896312,39.47916793823242
Turkey,18.45948515887309,65.63304898027347,46.20571565628052,84.44530570388307,76.52496620319351,52.67411888308937,8.49861204624176,36.85167686657967,58.15636053830876,45.9375
Tanzania,5.124465936796235,22.81452238348789,34.82741492986679,90.15580773312574,20.52333426757786,24.50726639442709,24.6566279232502,63.49703413156563,33.97181134274685,36.35416793823242
Ukraine,17.955504728163742,58.075182510423474,25.953083992004395,89.53565735482695,75.71592179223919,40.674374699735765,18.03351092338562,40.00649460241105,69.70414069015233,51.5625
Uruguay,32.01888470802383,38.54104888587647,30.91291868686676,81.5576524778427,73.88568798686009,66.21683857737065,26.209418535232544,41.37462346769356,64.7138709422066,94.0625
Venezuela,12.924852730981256,8.777665995975854,1.2528759241104126,92.12584967682756,75.68528863840355,45.33842498641295,6.055093765258789,27.31481160351292,44.968370494456,15.729166030883787
Vietnam,18.203254804328047,39.32632818174987,35.30373740196228,91.55097726554236,67.64401155005007,41.34378044345691,4.96361780166626,61.953077160294754,54.9306475148264,16.04166603088379
South Africa,13.202669246877369,40.58239226498471,26.82326281070709,87.51222603808036,66.22711753033768,37.54460587755817,9.656169414520264,27.684693017374613,34.50639309723581,76.04166793823242
Zambia,5.755942153453447,14.518242511200254,36.024868071079254,91.82152906751293,28.41384847703368,25.92296846224678,21.25779914855957,47.17807205739285,23.7293425998538,55.0
Zimbabwe,6.856809672758367,53.356070054761375,47.09530657529831,91.15277454834737,32.98684875758208,17.49860486675,21.9334716796875,50.94194267254215,24.01165355336675,30.3125
